Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR6364771,2018-01-23 14:43:59,2017-12-10 21:27:28,31925695,9577708500,31925695,300,4117,,https://sra-download.ncbi.nlm.nih.gov/traces/sra55/SRR/006215/SRR6364771,SRX3460478,RRA63230-S,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP126441,PRJNA419616,1,419616,SRS2903728,SAMN08435044,simple,8855,Cairina moschata,RNA-seq of Cairina moschata: adult male Rectum 2,,,,,male,,no,,,,,,SRA637234,,public,324382CDA60FE25A8DEDA0320EC5CFF3,C26662C0CC28821C6C23A30EAFA7700C
SRR6365175,2018-01-23 14:43:59,2017-12-11 05:54:26,24224107,7267232100,24224107,300,3083,,https://sra-download.ncbi.nlm.nih.gov/traces/sra55/SRR/006215/SRR6365175,SRX3460883,RRA63224-S,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP126441,PRJNA419616,1,419616,SRS2903731,SAMN08434998,simple,8855,Cairina moschata,RNA-seq of Cairina moschata: adult male Heart 2,,,,,male,,no,,,,,,SRA637268,,public,8DA21A1C429CB5E66EF0FC5204753251,15134AA07E80BD004BE9A7CF83AB88BA
SRR6367500,2018-01-23 14:43:59,2017-12-11 22:26:55,27728305,8318491500,27728305,300,3580,,https://sra-download.ncbi.nlm.nih.gov/traces/sra56/SRR/006218/SRR6367500,SRX3462961,RRA63231-S,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP126441,PRJNA419616,1,419616,SRS2903729,SAMN08434997,simple,8855,Cairina moschata,RNA-seq of Cairina moschata: adult male Eye 2,,,,,male,,no,,,,,,SRA637616,,public,0DDD177DEA0A3444D04F5CBB7351557B,8B593F9963BE866B189DC1ECE349725C
SRR6367503,2018-01-23 14:43:59,2017-12-12 00:48:14,26015090,7804527000,26015090,300,3424,,https://sra-download.ncbi.nlm.nih.gov/traces/sra55/SRR/006218/SRR6367503,SRX3462964,RRA63234-S,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP126441,PRJNA419616,1,419616,SRS2903730,SAMN08434996,simple,8855,Cairina moschata,RNA-seq of Cairina moschata: adult male Cerebral cortex 2,,,,,male,,no,,,,,,SRA637617,,public,50741B5B79FCE36A8E40EA518EA797EF,CB5E906DBB5C9EBCE0D73DA847EA5B03
SRR6370767,2018-01-23 14:43:59,2017-12-12 22:22:26,24280935,7284280500,24280935,300,3173,,https://sra-download.ncbi.nlm.nih.gov/traces/sra55/SRR/006221/SRR6370767,SRX3466094,RRA63238-S,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP126441,PRJNA419616,1,419616,SRS2903733,SAMN08435043,simple,8855,Cairina moschata,RNA-seq of Cairina moschata: adult male Pons 2,,,,,male,,no,,,,,,SRA637773,,public,FDB3D197F2ECC7354C0A30F3DFABF3B1,072BB32C6750B3A07364E6D45D7E858B
SRR6370783,2018-01-23 14:43:59,2017-12-12 23:30:09,26736997,8021099100,26736997,300,3500,,https://sra-download.ncbi.nlm.nih.gov/traces/sra56/SRR/006221/SRR6370783,SRX3466110,RRA63237-S,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP126441,PRJNA419616,1,419616,SRS2903732,SAMN08435047,simple,8855,Cairina moschata,RNA-seq of Cairina moschata: adult male Striatum 2,,,,,male,,no,,,,,,SRA637775,,public,A253600EDA68EA23ED98F13B7F2DBE5E,C9D0790618AEC75A2D414E6141D5D113
SRR6370798,2018-01-23 14:43:59,2017-12-12 23:59:16,27388525,8216557500,27388525,300,3513,,https://sra-download.ncbi.nlm.nih.gov/traces/sra55/SRR/006221/SRR6370798,SRX3466125,RRA63232-S,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP126441,PRJNA419616,1,419616,SRS2903734,SAMN08435050,simple,8855,Cairina moschata,RNA-seq of Cairina moschata: adult male Tongue 2,,,,,male,,no,,,,,,SRA637776,,public,B56C4D917EB75A5C6ABD99AE33331BCD,7422343ADE357D5B8E414A057061B9A7
SRR6371026,2018-01-23 14:43:59,2017-12-13 04:08:28,23934536,7180360800,23934536,300,3119,,https://sra-download.ncbi.nlm.nih.gov/traces/sra55/SRR/006221/SRR6371026,SRX3466354,RRA63236-S,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP126441,PRJNA419616,1,419616,SRS2903735,SAMN08435042,simple,8855,Cairina moschata,RNA-seq of Cairina moschata: adult male Mesencephalon 2,,,,,male,,no,,,,,,SRA637790,,public,F11A30265256E58F4FA40A5424D0CDBE,6AF3DA0A9FFA350FE19D6CDE0A9148B7
SRR6371097,2018-01-23 14:43:59,2017-12-13 05:43:30,28932630,8679789000,28932630,300,3778,,https://sra-download.ncbi.nlm.nih.gov/traces/sra55/SRR/006221/SRR6371097,SRX3466424,RRA63235-S,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP126441,PRJNA419616,1,419616,SRS2903736,SAMN08434995,simple,8855,Cairina moschata,RNA-seq of Cairina moschata: adult male Cerebellar vermis,,,,,male,,no,,,,,,SRA637798,,public,B21878CD3D20D4EE8791A0BD34F7BE7C,D0E647963F55AB37930B5DDAC618EC65
SRR6374478,2018-01-23 14:43:59,2017-12-14 00:28:20,30871781,9261534300,30871781,300,3931,,https://sra-download.ncbi.nlm.nih.gov/traces/sra55/SRR/006225/SRR6374478,SRX3469326,RRA63233-S,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP126441,PRJNA419616,1,419616,SRS2903737,SAMN08435048,simple,8855,Cairina moschata,RNA-seq of Cairina moschata: adult male Testis 2,,,,,male,,no,,,,,,SRA638717,,public,43CE802074615959EBC1BBBA2FBDE701,A74599C88AB726A64278DFCA075B5754
